term;category;occurrences;contexts;sourceFiles;sampleLocators;preferredTranslation;notes
CONSTITUTION (CON);compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[28].CONSTITUTION (CON).@key | root.contents_alphabetical[10].CONSTITUTION (CON).@key;;
CONTAINERS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[9].CONTAINERS.@key | root.contents_alphabetical[15].CONTAINERS.@key;;
CONTRAVENTION;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[15].CONTRAVENTION.@key | root.contents_alphabetical[2].CONTRAVENTION.@key;;
CORAL GRIMES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[35].CORAL GRIMES.@key | root.contents_alphabetical[11].CORAL GRIMES.@key;;
CRAB;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[13].CRAB.@key | root.contents_alphabetical[12].CRAB.@key;;
CREAM PIE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[57].CREAM PIE.@key | root.contents_alphabetical[12].CREAM PIE.@key;;
CRITICAL STRIKES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[11].CRITICAL STRIKES.@key | root.contents_alphabetical[11].CRITICAL STRIKES.@key;;
CROSSBOW;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[38].CROSSBOW.@key | root.contents_alphabetical[13].CROSSBOW.@key;;
CROWNS & HEADDRESSES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[15].CROWNS & HEADDRESSES.@key | root.contents_alphabetical[14].CROWNS & HEADDRESSES.@key;;
CRYSTAL AMMO;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[44].CRYSTAL AMMO.@key | root.contents_alphabetical[15].CRYSTAL AMMO.@key;;
CRYSTAL ARMOR;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[7].CRYSTAL ARMOR.@key | root.contents_alphabetical[16].CRYSTAL ARMOR.@key;;
CRYSTAL CAVES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[26].CRYSTAL CAVES.@key | root.contents_alphabetical[16].CRYSTAL CAVES.@key;;
CRYSTAL GOLEM;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[57].CRYSTAL GOLEM.@key | root.contents_alphabetical[13].CRYSTAL GOLEM.@key;;
CRYSTAL SHARD;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[53].CRYSTAL SHARD.@key | root.contents_alphabetical[17].CRYSTAL SHARD.@key;;
DAEDALUS SHRINE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[37].DAEDALUS SHRINE.@key | root.contents_alphabetical[17].DAEDALUS SHRINE.@key;;
DAIMONIA;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[26].DAIMONIA.@key | root.contents_alphabetical[3].DAIMONIA.@key;;
DARK ICONS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[5].DARK ICONS.@key | root.contents_alphabetical[4].DARK ICONS.@key;;
DARTS & PLUMBATA;compendium_heading;1;UI/system text;lang/compendium_lang/contents_items.json;root.contents_alphabetical[18].DARTS & PLUMBATA.@key;;
DEATH BOX;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[89].DEATH BOX.@key | root.contents_alphabetical[19].DEATH BOX.@key;;
DEFENSIVE POTIONS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[66].DEFENSIVE POTIONS.@key | root.contents_alphabetical[20].DEFENSIVE POTIONS.@key;;
DEMON;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[52].DEMON.@key | root.contents_alphabetical[14].DEMON.@key;;
DEU DE'BREAU;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[53].DEU DE'BREAU.@key | root.contents_alphabetical[15].DEU DE'BREAU.@key;;
DEXTERITY (DEX);compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[27].DEXTERITY (DEX).@key | root.contents_alphabetical[12].DEXTERITY (DEX).@key;;
DIVINATIONS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[20].DIVINATIONS.@key | root.contents_alphabetical[5].DIVINATIONS.@key;;
DJINNI'S BRACE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[10].DJINNI'S BRACE.@key | root.contents_alphabetical[21].DJINNI'S BRACE.@key;;
DOOR;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[5].DOOR.@key | root.contents_alphabetical[18].DOOR.@key;;
DRAGON'S MAIL;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[11].DRAGON'S MAIL.@key | root.contents_alphabetical[22].DRAGON'S MAIL.@key;;
DUCK;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[90].DUCK.@key | root.contents_alphabetical[23].DUCK.@key;;
DUMMYBOT;compendium_heading;4;UI/system text;lang/compendium_lang/contents_items.json | lang/compendium_lang/contents_monsters.json;root.contents[82].DUMMYBOT.@key | root.contents_alphabetical[24].DUMMYBOT.@key | root.contents[60].DUMMYBOT.@key | root.contents_alphabetical[16].DUMMYBOT.@key;;
DYRNWYN;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[29].DYRNWYN.@key | root.contents_alphabetical[25].DYRNWYN.@key;;
EARTH SPRITE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[64].EARTH SPRITE.@key | root.contents_alphabetical[17].EARTH SPRITE.@key;;
EMPTY BOTTLE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[65].EMPTY BOTTLE.@key | root.contents_alphabetical[26].EMPTY BOTTLE.@key;;
ENCHANTED AMULETS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[8].ENCHANTED AMULETS.@key | root.contents_alphabetical[6].ENCHANTED AMULETS.@key;;
ENCHANTED FEATHER;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[12].ENCHANTED FEATHER.@key | root.contents_alphabetical[7].ENCHANTED FEATHER.@key;;
ENCHANTED RINGS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[7].ENCHANTED RINGS.@key | root.contents_alphabetical[8].ENCHANTED RINGS.@key;;
ENSLAVED GHOULS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[36].ENSLAVED GHOULS.@key | root.contents_alphabetical[18].ENSLAVED GHOULS.@key;;
ERUDYCE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[44].ERUDYCE.@key | root.contents_alphabetical[19].ERUDYCE.@key;;
EVOCATION;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[14].EVOCATION.@key | root.contents_alphabetical[9].EVOCATION.@key;;
EXPERIENCE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_achievements.json;root.contents[2].EXPERIENCE.@key | root.contents_alphabetical[2].EXPERIENCE.@key;;
EXPERIENCE POINTS (XP);compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[4].EXPERIENCE POINTS (XP).@key | root.contents_alphabetical[13].EXPERIENCE POINTS (XP).@key;;
FACE ACCESSORIES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[16].FACE ACCESSORIES.@key | root.contents_alphabetical[27].FACE ACCESSORIES.@key;;
FIRE & HUNTING AMMO;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[43].FIRE & HUNTING AMMO.@key | root.contents_alphabetical[28].FIRE & HUNTING AMMO.@key;;
FIST WEAPONS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[33].FIST WEAPONS.@key | root.contents_alphabetical[29].FIST WEAPONS.@key;;
FLAILS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[26].FLAILS.@key | root.contents_alphabetical[30].FLAILS.@key;;
FLANKING STRIKES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[12].FLANKING STRIKES.@key | root.contents_alphabetical[14].FLANKING STRIKES.@key;;
FOUNTAIN;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[33].FOUNTAIN.@key | root.contents_alphabetical[19].FOUNTAIN.@key;;
FRYPAN;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[75].FRYPAN.@key | root.contents_alphabetical[31].FRYPAN.@key;;
FUNNY BONES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[33].FUNNY BONES.@key | root.contents_alphabetical[20].FUNNY BONES.@key;;
GATE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[1].GATE.@key | root.contents_alphabetical[20].GATE.@key;;
GHARBAD;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[29].GHARBAD.@key | root.contents_alphabetical[21].GHARBAD.@key;;
GHOST;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[31].GHOST.@key | root.contents_alphabetical[22].GHOST.@key;;
GHOULS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[34].GHOULS.@key | root.contents_alphabetical[23].GHOULS.@key;;
GNOME;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[4].GNOME.@key | root.contents_alphabetical[24].GNOME.@key;;
GNOME THIEF;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[5].GNOME THIEF.@key | root.contents_alphabetical[25].GNOME THIEF.@key;;
GNOMISH MINES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[50].GNOMISH MINES.@key | root.contents_alphabetical[21].GNOMISH MINES.@key;;
GOATMAN;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[28].GOATMAN.@key | root.contents_alphabetical[26].GOATMAN.@key;;
GOBLIN;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[2].GOBLIN.@key | root.contents_alphabetical[27].GOBLIN.@key;;
GOLD;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[8].GOLD.@key | root.contents_alphabetical[15].GOLD.@key;;
GRAVESTONE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[35].GRAVESTONE.@key | root.contents_alphabetical[22].GRAVESTONE.@key;;
GREATSWORDS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[22].GREATSWORDS.@key | root.contents_alphabetical[32].GREATSWORDS.@key;;
GUNGNIR;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[32].GUNGNIR.@key | root.contents_alphabetical[33].GUNGNIR.@key;;
GYROBOT;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[84].GYROBOT.@key | root.contents_alphabetical[34].GYROBOT.@key;;
HALL OF TRIALS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[13].HALL OF TRIALS.@key | root.contents_alphabetical[23].HALL OF TRIALS.@key;;
HAMLET;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[16].HAMLET.@key | root.contents_alphabetical[24].HAMLET.@key;;
HATS & HOODS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[14].HATS & HOODS.@key | root.contents_alphabetical[35].HATS & HOODS.@key;;
HAUNTED CASTLE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[53].HAUNTED CASTLE.@key | root.contents_alphabetical[25].HAUNTED CASTLE.@key;;
HEALTH POINTS (HP);compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[33].HEALTH POINTS (HP).@key | root.contents_alphabetical[16].HEALTH POINTS (HP).@key;;
HELL;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[25].HELL.@key | root.contents_alphabetical[26].HELL.@key;;
HOLY SYMBOLS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[4].HOLY SYMBOLS.@key | root.contents_alphabetical[10].HOLY SYMBOLS.@key;;
HUMANS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[1].HUMANS.@key | root.contents_alphabetical[28].HUMANS.@key;;
HUNTERS' GUILD;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[62].HUNTERS' GUILD.@key | root.contents_alphabetical[27].HUNTERS' GUILD.@key;;
IMP;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[51].IMP.@key | root.contents_alphabetical[29].IMP.@key;;
IMPETURIA;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[27].IMPETURIA.@key | root.contents_alphabetical[11].IMPETURIA.@key;;
INCUBUS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[50].INCUBUS.@key | root.contents_alphabetical[30].INCUBUS.@key;;
INSECTOID;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[25].INSECTOID.@key | root.contents_alphabetical[31].INSECTOID.@key;;
INTELLIGENCE (INT);compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[29].INTELLIGENCE (INT).@key | root.contents_alphabetical[17].INTELLIGENCE (INT).@key;;
IRON ARMOR;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[5].IRON ARMOR.@key | root.contents_alphabetical[36].IRON ARMOR.@key;;
ITEM DEGRADATION;compendium_heading;1;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[23].ITEM DEGRADATION.@key;;
ITEM DURABILITY;compendium_heading;1;UI/system text;lang/compendium_lang/contents_codex.json;root.contents_alphabetical[18].ITEM DURABILITY.@key;;
JEWELS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[9].JEWELS.@key | root.contents_alphabetical[12].JEWELS.@key;;
JOKER'S CHOICE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_achievements.json;root.contents[3].JOKER'S CHOICE.@key | root.contents_alphabetical[3].JOKER'S CHOICE.@key;;
KEYS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[77].KEYS.@key | root.contents_alphabetical[37].KEYS.@key;;
KHRYSELAKATOS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[40].KHRYSELAKATOS.@key | root.contents_alphabetical[38].KHRYSELAKATOS.@key;;
KINESIS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[16].KINESIS.@key | root.contents_alphabetical[13].KINESIS.@key;;
KOBOLD;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[27].KOBOLD.@key | root.contents_alphabetical[32].KOBOLD.@key;;
LABYRINTH;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[22].LABYRINTH.@key | root.contents_alphabetical[28].LABYRINTH.@key;;
LAVA;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[7].LAVA.@key | root.contents_alphabetical[29].LAVA.@key;;
LEADERSHIP SKILL;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[52].LEADERSHIP SKILL.@key | root.contents_alphabetical[19].LEADERSHIP SKILL.@key;;
LEATHER ARMOR;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[2].LEATHER ARMOR.@key | root.contents_alphabetical[39].LEATHER ARMOR.@key;;
LEGENDARY STRIKES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[15].LEGENDARY STRIKES.@key | root.contents_alphabetical[20].LEGENDARY STRIKES.@key;;
LEVELING UP;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[5].LEVELING UP.@key | root.contents_alphabetical[21].LEVELING UP.@key;;
LEVER;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[2].LEVER.@key | root.contents_alphabetical[30].LEVER.@key;;
LICH'S BASTION;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[14].LICH'S BASTION.@key | root.contents_alphabetical[31].LICH'S BASTION.@key;;
LILITH;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[48].LILITH.@key | root.contents_alphabetical[33].LILITH.@key;;
LOCKPICK;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[76].LOCKPICK.@key | root.contents_alphabetical[40].LOCKPICK.@key;;
LORE SKILL;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[51].LORE SKILL.@key | root.contents_alphabetical[22].LORE SKILL.@key;;
MACE SKILL;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[43].MACE SKILL.@key | root.contents_alphabetical[23].MACE SKILL.@key;;
MACES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[25].MACES.@key | root.contents_alphabetical[41].MACES.@key;;
MAGIC POINTS (MP);compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[34].MAGIC POINTS (MP).@key | root.contents_alphabetical[24].MAGIC POINTS (MP).@key;;
MAGIC POWER (PWR);compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[36].MAGIC POWER (PWR).@key | root.contents_alphabetical[25].MAGIC POWER (PWR).@key;;
MAGIC RESIST (RES);compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[35].MAGIC RESIST (RES).@key | root.contents_alphabetical[26].MAGIC RESIST (RES).@key;;
MAGIC TRAP;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[44].MAGIC TRAP.@key | root.contents_alphabetical[32].MAGIC TRAP.@key;;
MAGICIANS' GUILD;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[61].MAGICIANS' GUILD.@key | root.contents_alphabetical[33].MAGICIANS' GUILD.@key;;
MAGICSTAFFS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[1].MAGICSTAFFS.@key | root.contents_alphabetical[14].MAGICSTAFFS.@key;;
MAIL & LORE BOOKS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[88].MAIL & LORE BOOKS.@key | root.contents_alphabetical[42].MAIL & LORE BOOKS.@key;;
MASKS & VISORS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[17].MASKS & VISORS.@key | root.contents_alphabetical[43].MASKS & VISORS.@key;;
MASONS' GUILD;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[64].MASONS' GUILD.@key | root.contents_alphabetical[34].MASONS' GUILD.@key;;
MEALS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[59].MEALS.@key | root.contents_alphabetical[44].MEALS.@key;;
MEDITATIONS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[22].MEDITATIONS.@key | root.contents_alphabetical[15].MEDITATIONS.@key;;
MELEE ATTACKS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[10].MELEE ATTACKS.@key | root.contents_alphabetical[27].MELEE ATTACKS.@key;;
MEMORIZED CASTING;compendium_heading;1;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[19].MEMORIZED CASTING.@key;;
MERCHANTS' GUILD;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[60].MERCHANTS' GUILD.@key | root.contents_alphabetical[35].MERCHANTS' GUILD.@key;;
MIMIC;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[61].MIMIC.@key | root.contents_alphabetical[34].MIMIC.@key;;
MINEHEAD;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[12].MINEHEAD.@key | root.contents_alphabetical[36].MINEHEAD.@key;;
MINES;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[20].MINES.@key | root.contents_alphabetical[37].MINES.@key;;
MINETOWN;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[51].MINETOWN.@key | root.contents_alphabetical[38].MINETOWN.@key;;
MINING PICK;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[73].MINING PICK.@key | root.contents_alphabetical[45].MINING PICK.@key;;
MINOTAUR;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[23].MINOTAUR.@key | root.contents_alphabetical[35].MINOTAUR.@key;;
MINOTAUR MAZE;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[55].MINOTAUR MAZE.@key | root.contents_alphabetical[39].MINOTAUR MAZE.@key;;
MIRACULOUS FEATS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[21].MIRACULOUS FEATS.@key | root.contents_alphabetical[16].MIRACULOUS FEATS.@key;;
MIRRORS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[71].MIRRORS.@key | root.contents_alphabetical[46].MIRRORS.@key;;
MISSILE ATTACKS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[21].MISSILE ATTACKS.@key | root.contents_alphabetical[28].MISSILE ATTACKS.@key;;
MORSELS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[56].MORSELS.@key | root.contents_alphabetical[47].MORSELS.@key;;
MURKY WATER;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[6].MURKY WATER.@key | root.contents_alphabetical[40].MURKY WATER.@key;;
MUSICAL INSTRUMENTS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[6].MUSICAL INSTRUMENTS.@key | root.contents_alphabetical[17].MUSICAL INSTRUMENTS.@key;;
MYSTERIOUS MERCHANT;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[7].MYSTERIOUS MERCHANT.@key | root.contents_alphabetical[36].MYSTERIOUS MERCHANT.@key;;
MYSTIC LIBRARY;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[56].MYSTIC LIBRARY.@key | root.contents_alphabetical[41].MYSTIC LIBRARY.@key;;
MYSTIC ORB;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[54].MYSTIC ORB.@key | root.contents_alphabetical[48].MYSTIC ORB.@key;;
MYSTICISM SKILL;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[49].MYSTICISM SKILL.@key | root.contents_alphabetical[29].MYSTICISM SKILL.@key;;
NOISEMAKER;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[81].NOISEMAKER.@key | root.contents_alphabetical[49].NOISEMAKER.@key;;
OBELISK;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[38].OBELISK.@key | root.contents_alphabetical[42].OBELISK.@key;;
OFF-HAND CASTING;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[17].OFF-HAND CASTING.@key | root.contents_alphabetical[30].OFF-HAND CASTING.@key;;
OFFENSIVE POTIONS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[67].OFFENSIVE POTIONS.@key | root.contents_alphabetical[50].OFFENSIVE POTIONS.@key;;
ORACLE'S TREADS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[9].ORACLE'S TREADS.@key | root.contents_alphabetical[51].ORACLE'S TREADS.@key;;
ORPHEUS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[45].ORPHEUS.@key | root.contents_alphabetical[37].ORPHEUS.@key;;
PARASHU;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[30].PARASHU.@key | root.contents_alphabetical[52].PARASHU.@key;;
PERCEPTION (PER);compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[30].PERCEPTION (PER).@key | root.contents_alphabetical[31].PERCEPTION (PER).@key;;
PITS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[8].PITS.@key | root.contents_alphabetical[43].PITS.@key;;
POLEARM SKILL;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[42].POLEARM SKILL.@key | root.contents_alphabetical[32].POLEARM SKILL.@key;;
POLEARMS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[28].POLEARMS.@key | root.contents_alphabetical[53].POLEARMS.@key;;
PSIANIMUS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[25].PSIANIMUS.@key | root.contents_alphabetical[18].PSIANIMUS.@key;;
QUILTED ARMOR;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[3].QUILTED ARMOR.@key | root.contents_alphabetical[54].QUILTED ARMOR.@key;;
RACE & ALIGNMENT;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[3].RACE & ALIGNMENT.@key | root.contents_alphabetical[33].RACE & ALIGNMENT.@key;;
RANGED SKILL;compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[47].RANGED SKILL.@key | root.contents_alphabetical[34].RANGED SKILL.@key;;
RAPIER;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[23].RAPIER.@key | root.contents_alphabetical[55].RAPIER.@key;;
RAT;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[9].RAT.@key | root.contents_alphabetical[38].RAT.@key;;
RATIONS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[60].RATIONS.@key | root.contents_alphabetical[56].RATIONS.@key;;
REGENERATION (RGN);compendium_heading;2;UI/system text;lang/compendium_lang/contents_codex.json;root.contents[37].REGENERATION (RGN).@key | root.contents_alphabetical[35].REGENERATION (RGN).@key;;
REVENANT SKULL;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[37].REVENANT SKULL.@key | root.contents_alphabetical[39].REVENANT SKULL.@key;;
ROCKS & GEMS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[52].ROCKS & GEMS.@key | root.contents_alphabetical[57].ROCKS & GEMS.@key;;
RUINS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_world.json;root.contents[24].RUINS.@key | root.contents_alphabetical[44].RUINS.@key;;
SARKOMANCY;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[24].SARKOMANCY.@key | root.contents_alphabetical[19].SARKOMANCY.@key;;
SCARAB;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[20].SCARAB.@key | root.contents_alphabetical[40].SCARAB.@key;;
SCEPTER;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[2].SCEPTER.@key | root.contents_alphabetical[0].SCEPTER.@key;;
SCORPION;compendium_heading;2;UI/system text;lang/compendium_lang/contents_monsters.json;root.contents[18].SCORPION.@key | root.contents_alphabetical[41].SCORPION.@key;;
SCROLLS;compendium_heading;2;UI/system text;lang/compendium_lang/contents_magic.json;root.contents[11].SCROLLS.@key | root.contents_alphabetical[20].SCROLLS.@key;;
SENTRY BOT & SPELLBOT;compendium_heading;2;UI/system text;lang/compendium_lang/contents_items.json;root.contents[83].SENTRY BOT & SPELLBOT.@key | root.contents_alphabetical[58].SENTRY BOT & SPELLBOT.@key;;
